nome;período;homicidios-negros;homicidios-mulheres;homicidios-nao-negros;homicidios-de-jovens;homicidios-homens;homicidios-homens-nao-negros;homicidios-de-jovens-homens;homicidios-de-homens-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios-mulheres-negras;homicidios;homicidios-de-jovens-mulheres;homicidios-mulheres-nao-negras;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-por-armas-de-fogo
MG;1983;;;;;;;319;;;;;61;;;;339
MS;1983;;;;;;;101;;;;;11;;;;137
MT;1983;;;;;;;41;;;;;4;;;;51
PA;1983;;;;;;;211;;;;;34;;;;240
PB;1983;;;;;;;137;;;;;16;;;;120
PE;1983;;;;;;;699;;;;;90;;;;965
PI;1983;;;;;;;38;;;;;0;;;;37
PR;1983;;;;;;;398;;;;;36;;;;550
RJ;1983;;;;;;;874;;;;;70;;;;859
RN;1983;;;;;;;62;;;;;7;;;;88
RO;1983;;;;;;;42;;;;;7;;;;64
RR;1983;;;;;;;8;;;;;1;;;;2
RS;1983;;;;;;;293;;;;;21;;;;253
SC;1983;;;;;;;102;;;;;23;;;;121
SE;1983;;;;;;;34;;;;;5;;;;42
SP;1983;;;;;;;2916;;;;;254;;;;1317
TO;1983;;;;;;;0;;;;;0;;;;0
AC;1984;;;;;;;13;;;;;3;;;;13
AL;1984;;;;;;;185;;;;;18;;;;304
AM;1984;;;;;;;110;;;;;10;;;;83
AP;1984;;;;;;;14;;;;;3;;;;12
BA;1984;;;;;;;186;;;;;28;;;;248
CE;1984;;;;;;;274;;;;;16;;;;196
DF;1984;;;;;;;77;;;;;9;;;;74
ES;1984;;;;;;;143;;;;;21;;;;151
GO;1984;;;;;;;176;;;;;28;;;;241
MA;1984;;;;;;;62;;;;;6;;;;84
MG;1984;;;;;;;379;;;;;69;;;;437
MS;1984;;;;;;;126;;;;;20;;;;177
MT;1984;;;;;;;57;;;;;6;;;;68
PA;1984;;;;;;;212;;;;;24;;;;296
PB;1984;;;;;;;135;;;;;10;;;;147
PE;1984;;;;;;;801;;;;;66;;;;1154
PI;1984;;;;;;;34;;;;;4;;;;36
PR;1984;;;;;;;429;;;;;48;;;;473
RJ;1984;;;;;;;1145;;;;;85;;;;1315
RN;1984;;;;;;;62;;;;;3;;;;67
RO;1984;;;;;;;80;;;;;5;;;;106
RR;1984;;;;;;;9;;;;;1;;;;0
RS;1984;;;;;;;305;;;;;37;;;;258
SC;1984;;;;;;;102;;;;;12;;;;120
SE;1984;;;;;;;16;;;;;2;;;;23
SP;1984;;;;;;;3789;;;;;274;;;;1864
TO;1984;;;;;;;0;;;;;0;;;;0
AC;1985;;;;;;;27;;;;;2;;;;23
AL;1985;;;;;;;173;;;;;34;;;;281
AM;1985;;;;;;;84;;;;;9;;;;85
AP;1985;;;;;;;16;;;;;2;;;;15
BA;1985;;;;;;;216;;;;;27;;;;254
CE;1985;;;;;;;221;;;;;20;;;;163
DF;1985;;;;;;;131;;;;;12;;;;150
ES;1985;;;;;;;168;;;;;18;;;;209
GO;1985;;;;;;;187;;;;;33;;;;211
MA;1985;;;;;;;45;;;;;7;;;;74
MG;1985;;;;;;;384;;;;;66;;;;382
MS;1985;;;;;;;92;;;;;9;;;;123
MT;1985;;;;;;;81;;;;;17;;;;118
PA;1985;;;;;;;200;;;;;16;;;;265
PB;1985;;;;;;;160;;;;;21;;;;140
PE;1985;;;;;;;930;;;;;77;;;;1310
PI;1985;;;;;;;22;;;;;4;;;;23
PR;1985;;;;;;;338;;;;;46;;;;440
RJ;1985;;;;;;;1277;;;;;78;;;;1460
RN;1985;;;;;;;62;;;;;5;;;;68
RO;1985;;;;;;;104;;;;;13;;;;174
RR;1985;;;;;;;3;;;;;0;;;;3
RS;1985;;;;;;;283;;;;;37;;;;219
SC;1985;;;;;;;103;;;;;16;;;;116
SE;1985;;;;;;;22;;;;;5;;;;33
SP;1985;;;;;;;3883;;;;;279;;;;2010
TO;1985;;;;;;;0;;;;;0;;;;0
AC;1986;;;;;;;24;;;;;2;;;;25
AL;1986;;;;;;;197;;;;;19;;;;282
AM;1986;;;;;;;89;;;;;5;;;;75
AP;1986;;;;;;;15;;;;;2;;;;7
BA;1986;;;;;;;206;;;;;28;;;;284
CE;1986;;;;;;;230;;;;;27;;;;143
DF;1986;;;;;;;121;;;;;16;;;;148
ES;1986;;;;;;;192;;;;;22;;;;205
GO;1986;;;;;;;203;;;;;32;;;;285
MA;1986;;;;;;;107;;;;;8;;;;104
MG;1986;;;;;;;378;;;;;54;;;;379
MS;1986;;;;;;;111;;;;;16;;;;136
MT;1986;;;;;;;110;;;;;15;;;;172
PA;1986;;;;;;;226;;;;;28;;;;301
PB;1986;;;;;;;179;;;;;29;;;;195
PE;1986;;;;;;;966;;;;;64;;;;1400
PI;1986;;;;;;;31;;;;;2;;;;26
PR;1986;;;;;;;377;;;;;36;;;;396
RJ;1986;;;;;;;1243;;;;;90;;;;1399
RN;1986;;;;;;;39;;;;;1;;;;49
RO;1986;;;;;;;133;;;;;11;;;;216
RR;1986;;;;;;;8;;;;;1;;;;3
RS;1986;;;;;;;321;;;;;31;;;;309
SC;1986;;;;;;;100;;;;;5;;;;105
SE;1986;;;;;;;22;;;;;5;;;;33
SP;1986;;;;;;;4070;;;;;277;;;;2126
TO;1986;;;;;;;0;;;;;0;;;;0
AC;1987;;;;;;;42;;;;;9;;;;51
AL;1987;;;;;;;213;;;;;29;;;;274
AM;1987;;;;;;;103;;;;;9;;;;101
AP;1987;;;;;;;9;;;;;4;;;;9
BA;1987;;;;;;;258;;;;;21;;;;294
CE;1987;;;;;;;186;;;;;14;;;;141
DF;1987;;;;;;;155;;;;;19;;;;211
ES;1987;;;;;;;206;;;;;21;;;;232
GO;1987;;;;;;;236;;;;;42;;;;304
MA;1987;;;;;;;110;;;;;5;;;;116
MG;1987;;;;;;;378;;;;;56;;;;340
MS;1987;;;;;;;97;;;;;12;;;;173
MT;1987;;;;;;;124;;;;;14;;;;185
PA;1987;;;;;;;196;;;;;22;;;;310
PB;1987;;;;;;;149;;;;;21;;;;149
PE;1987;;;;;;;1045;;;;;65;;;;1482
PI;1987;;;;;;;33;;;;;1;;;;29
PR;1987;;;;;;;354;;;;;46;;;;450
RJ;1987;;;;;;;1977;;;;;96;;;;2680
RN;1987;;;;;;;55;;;;;5;;;;81
RO;1987;;;;;;;148;;;;;14;;;;218
RR;1987;;;;;;;3;;;;;2;;;;0
RS;1987;;;;;;;347;;;;;34;;;;335
SC;1987;;;;;;;117;;;;;15;;;;151
SE;1987;;;;;;;23;;;;;1;;;;22
SP;1987;;;;;;;4357;;;;;287;;;;2379
TO;1987;;;;;;;0;;;;;0;;;;0
AC;1988;;;;;;;31;;;;;3;;;;43
AL;1988;;;;;;;281;;;;;24;;;;342
AM;1988;;;;;;;110;;;;;15;;;;106
AP;1988;;;;;;;12;;;;;0;;;;5
BA;1988;;;;;;;390;;;;;35;;;;429
CE;1988;;;;;;;228;;;;;16;;;;175
